	sample	group	taxonomy_level	alpha_diversity
0	SAMEA1963786	D043183	kingdom	0.0
1	SAMEA1963786	D043183	phylum	0.763369565572979
2	SAMEA1963786	D043183	class	0.954665097010236
3	SAMEA1963786	D043183	order	0.95817025175105
4	SAMEA1963786	D043183	family	1.72600416900559
5	SAMEA1963786	D043183	genus	1.91297005409761
6	SAMEA1963786	D043183	species	3.05045244271376
7	SAMEA1964348	D043183	kingdom	0.0
8	SAMEA1964348	D043183	phylum	0.733079949539055
9	SAMEA1964348	D043183	class	0.875118945321204
10	SAMEA1964348	D043183	order	0.882647104470858
11	SAMEA1964348	D043183	family	1.8265120522339
12	SAMEA1964348	D043183	genus	2.60838506897843
13	SAMEA1964348	D043183	species	3.42278662598028
14	SAMEA1964895	D006262	kingdom	0.0
15	SAMEA1964895	D006262	phylum	0.741859146589445
16	SAMEA1964895	D006262	class	0.82641951528005
17	SAMEA1964895	D006262	order	0.827270269226781
18	SAMEA1964895	D006262	family	1.73053695606864
19	SAMEA1964895	D006262	genus	2.17831430123937
20	SAMEA1964895	D006262	species	3.02693623378063
21	SAMEA1964914	D043183	kingdom	0.393150687727191
22	SAMEA1964914	D043183	phylum	1.53522742277878
23	SAMEA1964914	D043183	class	1.90493541489219
24	SAMEA1964914	D043183	order	1.92135470961112
25	SAMEA1964914	D043183	family	2.5066900520189
26	SAMEA1964914	D043183	genus	2.9107074693037
27	SAMEA1964914	D043183	species	3.48615483640176
28	SAMEA1965033	D006262	kingdom	0.005930570492795
29	SAMEA1965033	D006262	phylum	0.768860170279258
30	SAMEA1965033	D006262	class	0.787178829536304
31	SAMEA1965033	D006262	order	0.787619758953826
32	SAMEA1965033	D006262	family	1.93069488078738
33	SAMEA1965033	D006262	genus	2.28502486169493
34	SAMEA1965033	D006262	species	3.22189251126277
35	SAMEA1965112	D006262	kingdom	0.0082078836808441
36	SAMEA1965112	D006262	phylum	0.714408586465889
37	SAMEA1965112	D006262	class	0.859252016822748
38	SAMEA1965112	D006262	order	0.86068603634566
39	SAMEA1965112	D006262	family	1.76714078700705
40	SAMEA1965112	D006262	genus	2.4559226215931
41	SAMEA1965112	D006262	species	3.16650677906304
42	SAMEA1965191	D043183	kingdom	0.000783044238616
43	SAMEA1965191	D043183	phylum	0.788832173334013
