sample,receptor,insert_locus,donor,delete_start,delete_end,reverse_flag
SAMEA728570,MGYG000001378_5,162045,MGYG000001977_266,412,3142,False
SAMEA728582,MGYG000000187_56,12574,MGYG000000139_1,505626,530121,False
SAMEA728594,MGYG000003937_81,2837,MGYG000002274_14,47046,48706,True
SAMEA728594,MGYG000002082_19,30149,MGYG000001415_2,789227,837756,False
SAMEA728614,MGYG000001302.1_2,438933,MGYG000004658_56,1464,13037,False
SAMEA728614,MGYG000002609_11,93053,MGYG000004369_9,5358,63660,True
SAMEA728617,MGYG000001433_2,1053323,MGYG000000224_3,395160,397572,False
SAMEA728622,MGYG000002478_1,944601,MGYG000000105_5,429788,437259,True
SAMEA728627,MGYG000002530_1,1925510,MGYG000002954_11,48812,78068,False
SAMEA728627,MGYG000004451_11,9527,MGYG000001785_12,32643,46705,True
SAMEA728635,MGYG000000074_2,186861,MGYG000004658_56,1466,13029,True
SAMEA728643,MGYG000004402_22,32320,MGYG000003493_290,124,1600,False
SAMEA728643,MGYG000004402_2,81950,MGYG000003493_290,126,1601,True
SAMEA728643,MGYG000004402_17,30416,MGYG000003493_290,126,1600,True
SAMEA728643,MGYG000004402_4,48963,MGYG000003493_290,123,1602,True
SAMEA728649,MGYG000001337_2,2166336,MGYG000001345_36,402765,425056,False
SAMEA728658,MGYG000003686_38,17275,MGYG000000090_65,1825,3170,True
SAMEA728661,MGYG000003693_13,64001,MGYG000003493_290,127,1601,False
SAMEA728661,MGYG000003693_33,16204,MGYG000003493_290,125,1601,True
SAMEA728661,MGYG000002549_6,901531,MGYG000003493_290,126,1600,True
SAMEA728661,MGYG000003693_40,16330,MGYG000003493_290,126,1601,True
SAMEA728661,MGYG000001364_7,11187,MGYG000003493_290,125,1601,True
SAMEA728661,MGYG000003693_24,61786,MGYG000003493_290,126,1601,True
SAMEA728661,MGYG000003693_2,65415,MGYG000003493_290,125,1601,False
SAMEA728665,MGYG000002412_2,43925,MGYG000003493_290,125,1599,True
SAMEA728665,MGYG000002412_14,112672,MGYG000003493_290,125,1600,False
SAMEA728672,MGYG000000606_2,289597,MGYG000000584_72,5494,7450,False
SAMEA728672,MGYG000000730_24,12756,MGYG000000574_749,765,2042,False
SAMEA728672,MGYG000000429_1,190774,MGYG000000836_9,12375,12962,True
SAMEA728672,MGYG000000370_8,41966,MGYG000001632_43,1060,2787,False
SAMEA728676,MGYG000004006_4,64782,MGYG000004658_56,1466,13029,True
SAMEA728680,MGYG000004593_10,43333,MGYG000001622_1,313489,363579,False
SAMEA728680,MGYG000001097_87,4723,MGYG000001364_16,154574,170383,False
SAMEA728680,MGYG000000700_6,38399,MGYG000001364_16,154572,170388,True
SAMEA728680,MGYG000004639_1,368612,MGYG000001985_2,133113,133797,False
SAMEA728685,MGYG000001887_6,75517,MGYG000002954_11,48813,78072,True
SAMEA728690,MGYG000002530_1,1103814,MGYG000002954_11,48810,78068,False
SAMEA728700,MGYG000001878_21,45635,MGYG000001599_15,12147,14850,True
SAMEA728703,MGYG000002530_1,1925509,MGYG000002954_11,48811,78069,False
SAMEA728703,MGYG000004006_4,64782,MGYG000004658_56,1466,13035,True
SAMEA728703,MGYG000003681_13,1614,MGYG000002171_23,4783,6094,False
SAMEA728706,MGYG000004104_2,28700,MGYG000000574_749,765,2042,False
SAMEA728706,MGYG000002724_9,60359,MGYG000004323_18,10733,11289,False
SAMEA728706,MGYG000002082_16,48244,MGYG000004536_16,4852,15563,True
SAMEA728706,MGYG000004355_26,14681,MGYG000004242_6,31928,37613,False
SAMEA728706,MGYG000000730_4,63022,MGYG000000574_749,759,2043,False
SAMEA728709,MGYG000001302.1_5,288428,MGYG000004290_75,338,12486,True
SAMEA728709,MGYG000001302.1_1,64719,MGYG000002394_10,18601,27955,True
SAMEA728709,MGYG000001378_5,162045,MGYG000001977_266,412,3141,False
SAMEA728709,MGYG000004703_50,3361,MGYG000001345_36,695987,697020,False
SAMEA728723,MGYG000000084_1,22673,MGYG000003042_1,512874,514174,True
SAMEA728726,MGYG000004117_2,38076,MGYG000001825_320,110,1460,True
SAMEA728772,MGYG000001302.1_1,110348,MGYG000003493_290,125,1600,True
SAMEA728772,MGYG000001302.1_3,440433,MGYG000003493_290,127,1601,True
SAMEA728772,MGYG000001302.1_5,1032108,MGYG000003493_290,127,1600,True
SAMEA728772,MGYG000000045_4,60174,MGYG000000655_143,822,2589,False
SAMEA728772,MGYG000001302.1_3,185773,MGYG000003493_290,128,1600,True
SAMEA728772,MGYG000001302.1_2,359892,MGYG000003493_290,126,1600,False
SAMEA728772,MGYG000001302.1_3,154985,MGYG000003493_290,124,1603,False
SAMEA728772,MGYG000001302.1_5,279363,MGYG000003493_290,122,1600,False
SAMEA728772,MGYG000001302.1_5,1118104,MGYG000003493_290,126,1601,True
SAMEA728772,MGYG000001302.1_2,470152,MGYG000003493_290,126,1600,True
SAMEA728772,MGYG000001302.1_3,411391,MGYG000003493_290,126,1600,True
SAMEA728772,MGYG000001302.1_5,423466,MGYG000003493_290,125,1600,False
SAMEA728772,MGYG000001302.1_5,894806,MGYG000003493_290,124,1600,False
SAMEA728774,MGYG000001378_5,162045,MGYG000001977_266,412,3142,False
SAMEA728780,MGYG000000128_1,137044,MGYG000003493_290,122,1602,False
SAMEA728780,MGYG000001302.1_5,135585,MGYG000003493_290,126,1600,True
SAMEA728780,MGYG000001302.1_1,119834,MGYG000003493_290,124,1597,False
SAMEA728780,MGYG000001302.1_3,456082,MGYG000003493_290,124,1600,False
SAMEA728780,MGYG000001302.1_5,399921,MGYG000003493_290,124,1600,False
SAMEA728780,MGYG000001302.1_5,37599,MGYG000003493_290,124,1600,False
SAMEA728780,MGYG000004658_77,296076,MGYG000003493_290,126,1601,True
SAMEA728802,MGYG000003891_159,799,MGYG000003214_92,1759,2937,False
SAMEA728802,MGYG000003891_1,4041,MGYG000003214_92,1759,2936,True
SAMEA728808,MGYG000001346_13,822942,MGYG000003097_4,24824,81943,False
SAMEA728821,MGYG000003515_76,2692,MGYG000001345_36,402760,425058,False
SAMEA728821,MGYG000004782_17,910,MGYG000001345_36,402765,425057,True
SAMEA728839,MGYG000001681_63,4585,MGYG000003214_294,1650,3307,False
SAMEA728845,MGYG000002478_1,944601,MGYG000000105_5,429788,437259,True
SAMEA728845,MGYG000003192_180,225,MGYG000002478_1,2543727,4229658,True
SAMEA728848,MGYG000000243_2,106724,MGYG000002549_6,820916,901730,True
SAMEA728851,MGYG000002082_2,142442,MGYG000001415_2,789230,837755,True
SAMEA728854,MGYG000002371_1,231391,MGYG000000074_2,364279,442116,True
SAMEA728854,MGYG000002993_25,36953,MGYG000001500_10,101620,133380,False
SAMEA728862,MGYG000004600_3,1606,MGYG000004488_60,113,1865,False
SAMEA728876,MGYG000004782_17,910,MGYG000001345_36,402765,425058,True
SAMEA728881,MGYG000004250_50,3316,MGYG000000141_1,681932,735960,False
SAMEA728890,MGYG000002478_1,241409,MGYG000003351_518,155,1598,True
SAMEA728890,MGYG000004797_21,68635,MGYG000003351_518,154,1600,False
SAMEA728902,MGYG000001060_32,2870,MGYG000003970_134,2822,4670,False
SAMEA728925,MGYG000003891_159,798,MGYG000003214_92,1759,2933,False
SAMEA728946,MGYG000002478_1,597159,MGYG000003163_45,3880,14799,False
SAMEA728946,MGYG000001302.1_5,42390,MGYG000000074_1,688271,769523,False
SAMEA728950,MGYG000002007_3,79575,MGYG000000074_2,364280,442112,False
SAMEA1906415,MGYG000001110_60,4491,MGYG000003669_108,3681,5134,False
SAMEA1906415,MGYG000002720_26,23502,MGYG000001632_43,1050,2784,True
SAMEA1906415,MGYG000002993_2,88873,MGYG000000370_3,99132,99829,False
SAMEA1906415,MGYG000001455.1_71,28293,MGYG000002207_100,437,1786,False
SAMEA1906415,MGYG000003192_180,219,MGYG000002478_1,46220,4229658,True
SAMEA1906416,MGYG000003979_32,11255,MGYG000003689_1,94378,138979,True
SAMEA1906416,MGYG000001302.1_3,306919,MGYG000002171_23,4783,6088,False
SAMEA1906417,MGYG000000209_7,46186,MGYG000003949_4,15520,18147,False
SAMEA1906418,MGYG000000370_19,24472,MGYG000001632_43,1060,2788,True
SAMEA1906419,MGYG000002544_2,178717,MGYG000000324_229,765,2431,False
SAMEA1906419,MGYG000002544_31,16756,MGYG000000324_229,769,2425,False
SAMEA1906419,MGYG000000094_1,276842,MGYG000004608_76,654,1816,False
SAMEA1906419,MGYG000002528_1,707731,MGYG000001380_17,545,2203,False
SAMEA1906419,MGYG000002528_1,2601167,MGYG000001380_17,544,2203,False
SAMEA1906419,MGYG000001546_5,433794,MGYG000004658_56,1465,13028,False
SAMEA1906419,MGYG000000164_1,64519,MGYG000001380_17,545,2200,True
SAMEA1906419,MGYG000002528_1,1016361,MGYG000001380_17,545,2206,False
SAMEA1906420,MGYG000002478_1,3811012,MGYG000003279_4,55167,57657,True
SAMEA1906421,MGYG000001378_5,162045,MGYG000001977_266,412,3142,False
SAMEA1906421,MGYG000003927_12,52785,MGYG000002530_1,2427825,2607725,True
SAMEA1906421,MGYG000001378_12,157321,MGYG000001364_16,154576,170381,False
SAMEA1906422,MGYG000000045_12,32654,MGYG000000655_143,823,2584,True
SAMEA1906422,MGYG000000045_4,60165,MGYG000000655_143,822,2589,False
SAMEA1906422,MGYG000000190_1,429897,MGYG000000193_24,8699,11577,False
